Id,ProjectCode,NameProject,SerialNumber,Karfarma,DateVorod,DateKhoroj,KarshenasiAvalie,FactorNumber,ReportCount,NewCode
845,0,مگنت سرد,,فولاد بناب,2022-04-09,2022-04-20,برگشتی,,0,
909,0,الکتروموتور 37KW,,آب و فاضلاب گرمسار,2022-07-12,2022-07-23,برگشتی,,0,
931,0,37kw 1400دور ,,آب و فاضلاب گرمسار,2022-07-31,2022-08-04,برگشتی,,0,
939,0,مگنت گرم,,فولاد کویر دامغان,2022-08-14,2022-10-07,برگشتی,,0,
1122,0,مگنت گرم,,فولاد کویر دامغان,2023-12-23,2024-01-13,برگشتی,,0,
327,1326,آرمیچر 18KW,,راه آهن کویر واگن,2019-09-17,2020-01-18,سیم پیچی,,0,
430,1326,آرمیچر 18KW,,راه آهن کویر واگن,2020-02-23,2020-03-17,سیم پیچی,,0,
386,1385,استاتور آلستوم ,,راه آهن TDS,2019-12-03,2020-06-24,سیم پیچی,,0,
537,1385,استاتور آلستوم,,راه آهن TDS,2020-10-29,2020-12-05,سیم پیچی,,0,
455,1453,قطب اصلی رتور ژنراتور اصلی,,راه آهن کویر واگن,2020-05-17,2020-07-03,عودت,,0,
500,1453,قطب رتور ژنراتور اصلی,,راه آهن کویر واگن,2020-07-20,2020-07-03,سیم پیچی,,0,
475,1473,ترانس 100KVA,,اداره برق بسطام,2020-05-30,2020-09-01,اورهال,,0,
538,1473,ترانس100KVA,,اداره برق بسطام,2020-11-07,2020-12-08,اورهال,,0,
487,1485,ترانس 200KVA,,اداره برق استان سمنان,2020-06-14,2020-09-30,سیم پیچی,,0,
548,1485,ترانس200KVA,,اداره برق استان سمنان,2020-11-09,2020-11-24,اورهال,,0,
488,1486,ترانس 200KVA,,اداره برق استان سمنان,2020-06-14,2020-09-30,سیم پیچی,,0,
549,1486,ترانس200KVA,,اداره برق استان سمنان,2020-11-09,2020-11-24,اورهال,,0,
489,1487,ترانس 200KVA,,اداره برق استان سمنان,2020-06-14,2020-09-30,سیم پیچی,,0,
550,1487,ترانس200KVA,,اداره برق استان سمنان,2020-11-09,2020-11-24,اورهال,,0,
159,1557,ژنراتور 18KW,,راه آهن سفیر صداقت,2018-09-18,2018-10-04,سیم پیچی,,1,
564,1557,الکتروموتور 380V-10KW,,سپهر البرز,2020-12-20,2021-01-04,سیم پیچی,,1,
1329,2293,روتور 90KW,,غرب استیل,2024-12-16,2026-01-07,سیم پیچی,741-742,0,
1506,2293,استاتور روتور 90kw,,غرب استیل,2025-09-17,2026-01-07,سیم پیچی,741-742,0,
830,RE1/1643,رتور الستوم,0382,راه آهن TDS,2022-03-06,2022-05-24,برگشتی,298,0,
832,RE1/1643,استاتور630kw,,معدن کرمان,2022-03-13,2022-04-07,برگشتی,,0,
