ProjectCode,Employer,NameProject,SerialNumber,DateMovaqatExit,GhabzExit,FactorNumber,FactorType,KarshenasiAvalie,ReceiverProject,DeliveryDate,FileDate,Description,Id,DateVorod,DateKhoroj,SematId,UserId,DateSabtPoroje,DateNiazMoshtari,IsPoshe
1001,1,پمپ آب خانگی (باغ),,,,,,سرویس پمپ,,,,,1,2017-08-26,2017-08-26,,,,,False
1002,1,ورزشگاه محلات (پمپ کولر 13),,,,,,سرویس کولر 13000,,,,,2,2017-09-01,2017-09-11,,,,,False
1003,1,نصب کولر,,,,,,نصب 5 دستگاه کولر,,,,,3,2017-09-03,2017-09-09,,,,,False
1004,1,بالابر و ...,,,,,,سرویس بالابر ,,,,,4,2017-08-27,2017-09-11,,,,,False
1005,1,کولر 13000,,,,,,سرویس کولر 13000 و تعویض کنتاکتور,,,,,5,2017-09-12,2017-09-12,,,,,False
1006,1,کولر 7500,,,,,,سرویس کولر 7500,,,,,6,2017-09-14,2017-09-14,,,,,False
1007,1,موتور کولر راه آهن DC,,,,,,بازسازی کامل استاتور,,,,,7,2017-09-17,2017-09-28,,,,,False
1008,1,موتور کولر راه آهن DC 4HP,,,,,,بازسازی کامل استاتور,,,,,8,2017-09-17,2017-09-28,,,,,False
1009,1,موتور کولر راه آهن DC,,,,,,بازسازی کامل استاتور,,,,,9,2017-09-17,2017-09-28,,,,,False
1010,1,موتور کنارک DC,,,,,,سیم پیچی و اصلاح کلکتور ,,,,,10,2017-09-17,2017-10-12,,,,,False
1011,1,ورزشگاه محلات دینام 5/5KW,,,,,,سیم پیچی,,,,,11,2017-09-17,2017-09-24,,,,,False
1012,1,آرمیچر موتور استارت کنارک,,,,,,سیم پیچی و تراشکاری شفت,,,,,12,2017-10-02,2017-10-12,,,,,False
1013,1,دینام 3 فاز 95KW چینی,,,,,,سیم پیچی ,,,,,13,2017-10-04,2017-11-05,,,,,False
1014,1,نصب پمپ آب,,,,,,نصب پمپ آب,,,,,14,2017-10-10,2017-10-10,,,,,False
1015,1,پمپ کفکش 1.5HP,,,,,,سیم پیچی,,,,,15,2017-10-17,2017-10-18,,,,,False
1016,1,نصب فیوز و پرژکتور,,,,,,نصب فیوز,,,,,16,2017-10-17,2017-10-17,,,,,False
1017,1,شوفاژ خانه,,,,,,سرویس شوفاژ خانه,,,,,17,2017-10-18,2017-10-19,,,,,False
1018,1,موتور کولر,,,,,,سیم پیچی,,,,,18,2017-10-21,2017-10-28,,,,,False
1019,1,پمپ آب,,,,,,سیم پیچی,,,,,19,2017-10-21,2017-10-28,,,,,False
