KarfarmaId,KarfarmaName,Address,ModiramelPhone,Phone,Fax,Shomaresabt
1,آقای ایزدجو,,,,,
2,آقای دهشت,,,,,
3,پخش هجرت,,,,,
4,استخر کارگران,,,,,
5,کمیته امداد,,,,,
6,پروتئینی,,,,,
7,همیار موتور,,,,,
8,توان نیرو شاهوار,,,,,
9,مهندس عینلی گچ کوه سفید,,,,,
10,عمه آقای رحمت الهی,,,,,
11,حسین رحمت الهی,,,,,
12,شرکت عقاب,,,,,
13,نورد لوله سمنان,,,,,
14,خوشه طلایی,,,,,
15,شمش روی کیمیا,,,,,
16,9126592360,,,,,
17,آب و فاضلاب سمنان,,,,,
18,همیار موتور ,,,,,
19,اکسیژن پاینده گاز طباطبایی,,,,,
20,تراشکاری هاشم,,,,,
21,دامغان امیراحمدی,,,,,
22,غرب استیل,,,,,
23,ابوالفضل دارایی,,,,,
24,اسماعیلی اکسیژن مهدی,,,,,
25, ملک تراشکاری,,,,,
26,اکسیژن مازرون,,,,,
27,اکسیژن تهران,,,,,
28,خانم عامری,,,,,
29,راه آهن سفیر صداقت,,,,,
30,اعرابی آب و فاضلاب,,,,,
31,اکسیژن شبنم شهریار,,,,,
32,اکسیژن یزد (شکفته) ,,,,,
33,راه آهن کویر واگن,,,,,
34,اکسیژن سراج سمنان,,,,,
35,امیرلو,,,,,
36,اکسیژن پارس,,,,,
37,سجودی,,,,,
38,اکسیژن تهران فراهانی,,,,,
39,نورد گالوانیزه سمنان,,,,,
40,ناشناس,,,,,
41,شیشه ایمنی کبیر,,,,,
42,سیمان کیاسر,,,,,
43,معدن تکافر سپاهان (خاکسار),,,,,
44,نورد گرم سمنان,,,,,
45,سمنان یاس,,,,,
46,آقای شاهانی,,,,,
47,ادریس غلامی,,,,,
48,البرز نیرو راه آهن بافق یزد,,,,,
49,معادن زغال سنگ کرمان,,,,,
50,آقای مرادی,,,,,
51,معدن زرند کرمان,,,,,
52,آب و فاضلاب گرمسار,,,,,
53,اداره برق استان سمنان,,,,,
54,آقای عشاقی,,,,,
55,معدنجو طبس,,,,,
56,معدن هشونی,,,,,
57,سیمان رنگی سمنان ملات,,,,,
58,اداره برق شاهرود,,,,,
59,راه آهن TDS,,,,,
60,استاتور بالابر آسانسور احمدی,,,,,
61,میبد کارخانه کاشی,,,,,
62,کاشی میبد,,,,,
63,اداره برق بسطام,,,,,
64,ماشین سازی اراک,,,,,
65,مهندس نبوی,,,,,
66,دستمال کاغذی بیتا,,,,,
67,اکسیژن خمین,,,,,
68,بازیافت,,,,,
69,معدن کانجویان صنعت,,,,,
70,الگانت,,,,,
71,پیشگام,,,,,
72,شاهانی,,,,,
73,اکسیژن اردکان,,,,,
74,سپهر البرز,,,,,
75,متفرقه,,,,,
76,اداره برق گرمسار,,,,,
77,پارمیدا,,,,,
78,ایران خودرو فردا,,,,,
79,اعرابیان,,,,,
80,مخابرات استان سمنان,,,,,
81,اداره برق میامی,,,,,
82,معدن,,,,,
83,فراریز ارتباط,,,,,
84,معدن شاهرود,,,,,
85,علیرضا دامغان,,,,,
86,متفرقه(پلاستیک قائم),,,,,
87,نساجی کویر,,,,,
88,کارمند غرب استیل,,,,,
89,استاتور اکسیژن اردیبل ,,,,,
90,فولاد فجرسمنان,,,,,
91,اکسیژن تربت حیدریه,,,,,
92,فولاد بناب,,,,,
93,فناوران برق اصفهان,,,,,
94,معدن فراز فتح البرز,,,,,
95,شاهانی ,,,,,
96,صادقی,,,,,
97,آلومینیوم المهدی,,,,,
98,اکسیژن ایوانکی,,,,,
99,کارانوین (شاهانی),,,,,
100,کیومرث,,,,,
101,بافندگی درجزین,,,,,
102,ساخت,,,,,
103,فراکومش صنعت پارس,,,,,
104,فولادقائم,,,,,
105,آقای ابراهیمی,,,,,
106,سعیدقدس,,,,,
107,معدن کرمان,,,,,
108,سیمین روی,,,,,
109,رویان دارو,,,,,
110,پلاستیک قائم,,,,,
111,فولاد کویر دامغان,,,,,
112,مازندران,,,,,
113,تراشکاری حسین عجم,,,,,
114,رویان دارو ,,,,,
115,کوهساری,,,,,
116,ابزاردرمان,,,,,
117,سایپا,,,,,
118,ابراهیمی معدن,,,,,
119,فولاد حدید سیرجان,,,,,
120,اکسیژن غفاری,,,,,
121,کائولن باریت ,,,,,
122,تراشکاری حسنی,,,,,
123,اکسیژن میکائیلی,,,,,
