Id,IdList1,Date,Operator,DescriptionWork,SematId,UserId,BreakFastTime,LunchTime,TotalTime,SpentTime,DateStart,DateEnd
7565,2534,2026-01-04,2045,پلیسه گیری 1 عدد کویل ,69,29,00:00:00.000000,00:00:00.000000,01:15:00.000000,01:15:00.000000,07:45:00.000000,09:00:00.000000
7566,2543,2026-01-04,2045,پلیسه گیری 1 عدد ک.یل و عایق بندی 3 عدد کویل ,69,29,00:30:00.000000,00:00:00.000000,02:30:00.000000,02:00:00.000000,09:00:00.000000,11:30:00.000000
7567,2543,2026-01-04,2046,پلیسه گیری 4 عدد کویل ,69,29,00:30:00.000000,00:00:00.000000,07:45:00.000000,07:15:00.000000,07:45:00.000000,15:30:00.000000
7568,2509,2026-01-05,2029,بستن نوار پنبه 1 عدد,2123,2028,00:00:00.000000,00:00:00.000000,00:15:00.000000,00:15:00.000000,07:40:00.000000,07:55:00.000000
7569,2509,2026-01-05,2029,عایق بندی کویل 6عدد,2123,2028,00:30:00.000000,00:00:00.000000,05:00:00.000000,04:30:00.000000,08:00:00.000000,13:00:00.000000
7570,2509,2026-01-05,2029,چک کردن کویل-14 عدد عایق کردن شفت ,2123,2028,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,13:00:00.000000,14:30:00.000000
7571,2509,2026-01-05,2029,پلیسه گیری و رفع اتصال 1عدد,2123,2028,00:00:00.000000,00:30:00.000000,03:00:00.000000,02:30:00.000000,14:30:00.000000,17:30:00.000000
7572,2543,2026-01-05,2030,دمونتاژ ترانس ادامه کار در اوردن بوبین از روی هسته انجام شد. تخلیه هسته انجام شد.عیب یابی زدگی-ذوب شدگی بوبین فشار ضعیف انجام شد.,2123,2028,00:30:00.000000,00:30:00.000000,11:45:00.000000,10:45:00.000000,07:45:00.000000,19:30:00.000000
7573,2535,2026-01-05,2032,باز کردن رینگ و جوشکاری سرسیم ها و عایق بندی رینگ,2123,2028,00:30:00.000000,00:30:00.000000,10:20:00.000000,09:20:00.000000,07:40:00.000000,18:00:00.000000
7574,2543,2026-01-05,2033,همکاری با خلیل جهت در اوردن بوبین ها و جابجایی و مونتاژ کردن ترانس,2123,2028,00:30:00.000000,00:30:00.000000,11:40:00.000000,10:40:00.000000,07:50:00.000000,19:30:00.000000
7575,2502,2026-01-05,2034,مونتاژ غرب استیل تست,2123,2028,00:30:00.000000,00:00:00.000000,03:20:00.000000,02:50:00.000000,09:40:00.000000,13:00:00.000000
7576,2502,2026-01-05,2034,مونتاژ الکتروموتور معدن,2123,2028,00:00:00.000000,00:00:00.000000,00:40:00.000000,00:40:00.000000,17:00:00.000000,17:40:00.000000
7577,2523,2026-01-05,2034,بستن تخته کلمپ,2123,2028,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,16:00:00.000000,17:00:00.000000
7578,2517,2026-01-05,2035,"نخ بندی و بستن تخته کلمپ و نگهداری کابل ها و لحیم کاری کابلشو و زدن لاک و تمیزکاری و جابجایی و گذاشتن رتور داخل استاتور-رسیدگی به کارهای انبار

سفارش دادن عایق های بین فاز و روی شیار و روشن کردن تکلیف سیم ها و پیچیدن 1 عدد کلاف نمونه و جایگذاری 1 عدد کلاف و پیچیدن 9 عدد کلاف و پرکردن مستندات ",2123,2028,00:30:00.000000,00:30:00.000000,10:15:00.000000,09:15:00.000000,07:45:00.000000,18:00:00.000000
7579,2534,2026-01-05,2039,جایگذاری کویل و عایق کاری و پلیسه گیری بافت از 8 بافت 5 عدد پلیسه گیری و عایق کاری,2123,2028,00:30:00.000000,00:30:00.000000,10:20:00.000000,09:20:00.000000,07:40:00.000000,18:00:00.000000
7580,2517,2026-01-05,2039,نقاشی الکتروموتور و چرخاندن در کاسه جلو,2123,2028,00:00:00.000000,00:00:00.000000,01:20:00.000000,01:20:00.000000,18:10:00.000000,19:30:00.000000
