Id,Date,Operator,DescriptionWork,DateStart,DateEnd,BreakFastTime,LunchTime,TotalTime,SpentTime,IdList1,SematId,UserId
1,2025-06-09,22,اللبفف,07:00:00.000000,17:30:00.000000,00:30:00.000000,00:30:00.000000,10:30:00.000000,09:30:00.000000,4,69,29
2,2025-12-08,2046,پوست کندن کویل 9 عدد,09:00:00.000000,14:10:00.000000,00:30:00.000000,00:00:00.000000,05:10:00.000000,04:40:00.000000,1569,1118,2028
3,2025-12-08,2046,پلیسه گیری (نیمه کاره 1 عدد),14:15:00.000000,15:00:00.000000,00:00:00.000000,00:00:00.000000,00:45:00.000000,00:45:00.000000,1569,1118,2028
4,2025-12-07,2046,پوست کندن کویل 6 عدد,10:10:00.000000,17:00:00.000000,00:30:00.000000,00:30:00.000000,06:50:00.000000,05:50:00.000000,1569,1118,2028
5,2025-12-09,2045,پوست کندن 7 عدد کویل ,07:45:00.000000,14:20:00.000000,00:30:00.000000,00:00:00.000000,06:35:00.000000,06:05:00.000000,1569,1118,2028
6,2025-12-08,2045,پلیسه گیری و رفع اتصال 1 عدد و نصف ,14:45:00.000000,17:30:00.000000,00:00:00.000000,00:30:00.000000,02:45:00.000000,02:15:00.000000,1569,1118,2028
7,2025-12-08,2044,سوراخ کاری و قلاویز کاری,07:30:00.000000,12:00:00.000000,00:30:00.000000,00:00:00.000000,04:30:00.000000,04:00:00.000000,1572,1118,2028
8,2025-12-09,2044,قلاویز کاری پوسته,12:00:00.000000,13:30:00.000000,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,1572,1118,2028
9,2025-12-08,2044,قلاویز کاری پوسته,12:00:00.000000,13:30:00.000000,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,1561,1118,2028
10,2025-12-08,2043,پوست کندن کویل الستوم 9 عدد,08:00:00.000000,14:30:00.000000,00:30:00.000000,00:00:00.000000,06:30:00.000000,06:00:00.000000,1569,1118,2028
