module,services_dir,controllers_dir,entities_dir,pages_dir,service_lines,pages,owner_github
Accounting,inventory/src/Inventory.Api/Services/Accounting,inventory/src/Inventory.Api/Controllers/Accounting,inventory/src/Inventory.Api/Entities/Accounting,inventory/src/Inventory.Client/Pages/Accounting,2942,13,
BonHr,,,,inventory/src/Inventory.Client/Pages/BonHr,0,19,
Catalog,inventory/src/Inventory.Api/Services/Catalog,inventory/src/Inventory.Api/Controllers/Catalog,inventory/src/Inventory.Api/Entities/Catalog,inventory/src/Inventory.Client/Pages/Catalog,2637,9,
Cctv,,inventory/src/Inventory.Api/Controllers/Cctv,inventory/src/Inventory.Api/Entities/Cctv,inventory/src/Inventory.Client/Pages/Cctv,1267,2,
Chat,inventory/src/Inventory.Api/Services/Chat,,inventory/src/Inventory.Api/Entities/Chat,inventory/src/Inventory.Client/Pages/Chat,1473,1,
Core,inventory/src/Inventory.Api/Services/Core,inventory/src/Inventory.Api/Controllers/Core,inventory/src/Inventory.Api/Entities/Core,,770,0,
Dashboards,inventory/src/Inventory.Api/Services/Dashboards,inventory/src/Inventory.Api/Controllers/Dashboards,inventory/src/Inventory.Api/Entities/Dashboards,inventory/src/Inventory.Client/Pages/Dashboards,1623,1,
DocArchive,inventory/src/Inventory.Api/Services/DocArchive,inventory/src/Inventory.Api/Controllers/DocArchive,inventory/src/Inventory.Api/Entities/DocArchive,inventory/src/Inventory.Client/Pages/DocArchive,6832,11,
Export,inventory/src/Inventory.Api/Services/Export,inventory/src/Inventory.Api/Controllers/Export,,inventory/src/Inventory.Client/Pages/Export,2469,1,
FaAtt,inventory/src/Inventory.Api/Services/FaAtt,inventory/src/Inventory.Api/Controllers/FaAtt,,inventory/src/Inventory.Client/Pages/FaAtt,2109,12,
FaCom,inventory/src/Inventory.Api/Services/FaCom,inventory/src/Inventory.Api/Controllers/FaCom,,inventory/src/Inventory.Client/Pages/FaCom,1288,8,
FaLms,inventory/src/Inventory.Api/Services/FaLms,inventory/src/Inventory.Api/Controllers/FaLms,,inventory/src/Inventory.Client/Pages/FaLms,2309,14,
FaPay,inventory/src/Inventory.Api/Services/FaPay,inventory/src/Inventory.Api/Controllers/FaPay,,inventory/src/Inventory.Client/Pages/FaPay,2511,12,
Finance,inventory/src/Inventory.Api/Services/Finance,inventory/src/Inventory.Api/Controllers/Finance,inventory/src/Inventory.Api/Entities/Finance,inventory/src/Inventory.Client/Pages/Finance,276,1,
Hr,inventory/src/Inventory.Api/Services/Hr,inventory/src/Inventory.Api/Controllers/Hr,inventory/src/Inventory.Api/Entities/Hr,inventory/src/Inventory.Client/Pages/Hr,8948,8,
HrCore,inventory/src/Inventory.Api/Services/HrCore,inventory/src/Inventory.Api/Controllers/HrCore,inventory/src/Inventory.Api/Entities/HrCore,inventory/src/Inventory.Client/Pages/HrCore,5583,20,
HrMain,inventory/src/Inventory.Api/Services/HrMain,inventory/src/Inventory.Api/Controllers/HrMain,inventory/src/Inventory.Api/Entities/HrMain,inventory/src/Inventory.Client/Pages/HrMain,1300,13,
HrReports,inventory/src/Inventory.Api/Services/HrReports,,,,310,0,
HrTalent,inventory/src/Inventory.Api/Services/HrTalent,inventory/src/Inventory.Api/Controllers/HrTalent,,,869,0,
Invoicing,inventory/src/Inventory.Api/Services/Invoicing,inventory/src/Inventory.Api/Controllers/Invoicing,inventory/src/Inventory.Api/Entities/Invoicing,inventory/src/Inventory.Client/Pages/Invoicing,2749,8,
ItAssets,inventory/src/Inventory.Api/Services/ItAssets,inventory/src/Inventory.Api/Controllers/ItAssets,inventory/src/Inventory.Api/Entities/ItAssets,inventory/src/Inventory.Client/Pages/ItAssets,4122,6,
Notification,inventory/src/Inventory.Api/Services/Notification,,,,214,0,
Office,inventory/src/Inventory.Api/Services/Office,inventory/src/Inventory.Api/Controllers/Office,inventory/src/Inventory.Api/Entities/Office,inventory/src/Inventory.Client/Pages/Office,9785,27,
Orders,,,,inventory/src/Inventory.Client/Pages/Orders,0,2,
Panel,,,,inventory/src/Inventory.Client/Pages/Panel,0,4,
Pdf,inventory/src/Inventory.Api/Services/Pdf,,,,66,0,
Projects,inventory/src/Inventory.Api/Services/Projects,inventory/src/Inventory.Api/Controllers/Projects,inventory/src/Inventory.Api/Entities/Projects,inventory/src/Inventory.Client/Pages/Projects,2880,5,
Repairs,inventory/src/Inventory.Api/Services/Repairs,inventory/src/Inventory.Api/Controllers/Repairs,inventory/src/Inventory.Api/Entities/Repairs,inventory/src/Inventory.Client/Pages/Repairs,598,1,
ReportStudio,inventory/src/Inventory.Api/Services/ReportStudio,inventory/src/Inventory.Api/Controllers/ReportStudio,inventory/src/Inventory.Api/Entities/ReportStudio,inventory/src/Inventory.Client/Pages/ReportStudio,2935,2,
Reports,,inventory/src/Inventory.Api/Controllers/Reports,,inventory/src/Inventory.Client/Pages/Reports,35,2,
Sales,,inventory/src/Inventory.Api/Controllers/Sales,inventory/src/Inventory.Api/Entities/Sales,,192,0,
Settings,,,,inventory/src/Inventory.Client/Pages/Settings,0,4,
Stocktaking,inventory/src/Inventory.Api/Services/Stocktaking,inventory/src/Inventory.Api/Controllers/Stocktaking,inventory/src/Inventory.Api/Entities/Stocktaking,inventory/src/Inventory.Client/Pages/Stocktaking,1454,6,
System,inventory/src/Inventory.Api/Services/System,inventory/src/Inventory.Api/Controllers/System,inventory/src/Inventory.Api/Entities/System,inventory/src/Inventory.Client/Pages/System,3031,5,
Treasury,inventory/src/Inventory.Api/Services/Treasury,inventory/src/Inventory.Api/Controllers/Treasury,inventory/src/Inventory.Api/Entities/Treasury,inventory/src/Inventory.Client/Pages/Treasury,2201,7,
Warehousing,inventory/src/Inventory.Api/Services/Warehousing,inventory/src/Inventory.Api/Controllers/Warehousing,inventory/src/Inventory.Api/Entities/Warehousing,inventory/src/Inventory.Client/Pages/Warehousing,2398,9,
Watermark,inventory/src/Inventory.Api/Services/Watermark,,,,343,0,
